,id,address_v4,address_v6,asn_v4,asn_v6,prefix_v4,prefix_v6,is_anchor,is_public,status,status_since,first_connected,total_uptime,tags,country_code,latitude,longitude,day,probe,status_name,metro_area
6045,6045,149.20.4.10,2001:4f8:1:c::10,1280,1280,149.20.0.0/17,2001:4f8::/32,True,True,3,1542988595,1394019166,148837129,"['system-anchor', 'system-v2-soekris', 'system-dns-problem-suspected', 'system-ipv6-capable', 'system-ipv4-capable']",US,37.4395,-122.1405,20210906,https://atlas.ripe.net/api/v2/probes/6045/,Abandoned,Palo Alto
6061,6061,129.250.50.30,2001:418:0:3004::2,2914,2914,129.250.0.0/16,2001:418::/32,True,True,2,1630730325,1400495505,229886812,"['system-dns-problem-suspected', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,32.7975,-96.8195,20210906,https://atlas.ripe.net/api/v2/probes/6061/,Disconnected,Dallas
6062,6062,129.250.50.34,2001:418:0:3005::2,2914,2914,129.250.0.0/16,2001:418::/32,True,True,2,1625000335,1400569552,224282334,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,25.7885,-80.2295,20210906,https://atlas.ripe.net/api/v2/probes/6062/,Disconnected,Miami
6065,6065,129.250.50.37,2001:418:0:3006::2,2914,2914,129.250.0.0/16,2001:418::/32,True,True,3,1570559577,1401990100,167034963,"['system-anchor', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,47.6095,-122.3395,20210906,https://atlas.ripe.net/api/v2/probes/6065/,Abandoned,Seattle
6066,6066,129.250.50.42,2001:418:0:3007::2,2914,2914,129.250.0.0/16,2001:418::/32,True,True,2,1625998620,1402048916,223729024,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,33.7705,-84.4195,20210906,https://atlas.ripe.net/api/v2/probes/6066/,Disconnected,Atlanta
6067,6067,199.7.183.254,2620:17:4000:2::2,7366,7366,199.7.176.0/21,2620:17:4000::/48,True,True,3,1595712787,1402401360,193259040,"['system-anchor', 'system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,32.8105,-96.8595,20210906,https://atlas.ripe.net/api/v2/probes/6067/,Abandoned,Dallas
6072,6072,76.26.115.194,2001:558:6000:4::2,7922,7922,76.16.0.0/12,2001:558::/29,True,True,1,1630609897,1405412662,225368227,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,39.9585,-75.6095,20210906,https://atlas.ripe.net/api/v2/probes/6072/,Connected,West Chester
6074,6074,198.199.99.218,2604:a880:1:10::2,14061,14061,198.199.96.0/20,2604:a880:1::/48,True,True,3,1546552152,1408355677,138085144,"['system-anchor', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,37.7195,-122.3995,20210906,https://atlas.ripe.net/api/v2/probes/6074/,Abandoned,San Francisco
6080,6080,76.26.120.98,2001:558:6010:2::2,7922,7922,76.16.0.0/12,2001:558::/29,True,True,3,1620807681,1412584359,207946139,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,39.7375,-104.9785,20210906,https://atlas.ripe.net/api/v2/probes/6080/,Abandoned,Denver
6092,6092,208.80.155.69,2620:0:861:202:208:80:155:69,14907,14907,208.80.154.0/23,2620:0:861::/48,True,True,1,1630387628,1416840918,209497309,"['system-ipv6-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-stable-1d', 'system-ipv4-capable', 'system-ipv4-stable-30d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-v2-soekris', 'system-ipv6-capable', 'system-anchor']",US,39.0385,-77.4885,20210906,https://atlas.ripe.net/api/v2/probes/6092/,Connected,Ashburn
6093,6093,208.80.152.244,2620:0:860:201:208:80:152:244,14907,14907,208.80.152.0/23,2620:0:860::/48,True,True,3,1605041795,1417007010,184457215,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,32.9885,-96.9285,20210906,https://atlas.ripe.net/api/v2/probes/6093/,Abandoned,Carrollton
6095,6095,198.35.26.244,2620:0:863:201:198:35:26:244,14907,14907,198.35.26.0/24,2620:0:863::/48,True,True,1,1630978319,1417095755,211857670,"['system-ipv6-stable-1d', 'system-ipv6-stable-30d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-stable-1d', 'system-ipv4-stable-30d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,37.7195,-122.3985,20210906,https://atlas.ripe.net/api/v2/probes/6095/,Connected,San Francisco
6097,6097,209.59.185.7,2607:fad0:3610:2:0:1:0:1,32244,32244,209.59.128.0/18,2607:fad0:3000::/36,True,True,3,1565438561,1417539927,147790500,"['system-anchor', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'native-ipv6', 'no-nat', 'datacentre']",US,42.7105,-84.6685,20210906,https://atlas.ripe.net/api/v2/probes/6097/,Abandoned,
6101,6101,50.28.98.185,2607:fad0:4100:3:0:1:0:1,53824,53824,50.28.96.0/19,2607:fad0:4000::/36,True,True,1,1628229024,1418817796,211898856,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,33.4175,-112.0125,20210906,https://atlas.ripe.net/api/v2/probes/6101/,Connected,Phoenix
6122,6122,74.120.190.250,2620:11a:e000:74:120:190:250:0,22300,22300,74.120.190.0/24,2620:11a:e000::/48,True,True,3,1536476935,1430394341,105923713,"['system-anchor', 'system-v2-soekris', 'system-dns-problem-suspected', 'system-ipv6-capable', 'system-ipv4-capable', 'native-ipv4', 'he', 'ipv6', 'ipv4', 'native-ipv6', 'no-nat', 'datacentre']",US,37.3285,-121.8915,20210906,https://atlas.ripe.net/api/v2/probes/6122/,Abandoned,San Jose
6125,6125,192.0.33.157,2620:0:2d0:203::157,40528,40528,192.0.32.0/22,2620:0:2d0::/48,True,True,2,1629307254,1431943311,197182357,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,33.9195,-118.4015,20210906,https://atlas.ripe.net/api/v2/probes/6125/,Disconnected,El Segundo
6127,6127,148.100.32.102,2620:91:0:600::102,6124,6124,148.100.0.0/16,2620:91::/48,True,True,3,1540004409,1432207848,107638564,"['system-anchor', 'system-v2-soekris', 'system-dns-problem-suspected', 'nysernet', 'internet2', 'system-ipv6-capable', 'system-ipv4-capable', 'multihomed', 'ipv6', 'ipv4', 'native-ipv6', 'no-nat', 'academic', 'core', 'datacentre']",US,41.7205,-73.9315,20210906,https://atlas.ripe.net/api/v2/probes/6127/,Abandoned,Fairview
6130,6130,192.0.46.157,2620:0:2830:203::157,16876,16876,192.0.44.0/22,2620:0:2830::/48,True,True,1,1628560311,1432716313,198107815,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,38.9475,-77.3715,20210906,https://atlas.ripe.net/api/v2/probes/6130/,Connected,Reston
