,City Name,lat,long
6130,Virginia,38.9475,-77.3715
6257,Kansas,38.9305,-94.7505
6373,Missouri,39.0985,-94.5795
6061,Texas,32.7975,-96.8195
6215,California,34.0495,-118.2425
6223,New Jersey,40.3485,-74.6515
6280,Illinois,41.9975,-87.9685
6097,Michigan,42.7105,-84.6685
6266,Florida,25.7605,-80.1895
6259,Illinois,41.8815,-87.6305
6437,Texas,32.7905,-96.7915
6144,Virginia,39.0395,-77.4905
6288,Pennsylvania,39.9515,-75.1685
6452,Florida,25.7985,-80.2305
6067,Texas,32.8105,-96.8595
6095,California,37.7195,-122.3985
6570,North Carolina,35.7875,-78.4895
6524,Virginia,39.0195,-77.4615
6208,Utah,37.0815,-113.6225
6072,Pennsylvania,39.9585,-75.6095
6066,Georgia,33.7705,-84.4195
6092,Virginia,39.0385,-77.4885
6247,Virginia,37.2005,-80.4105
6574,New Jersey,40.7795,-74.0695
6482,California,37.4685,-121.9185
6613,Iowa,41.2585,-95.8625
6289,Virginia,39.0415,-77.4885
6389,Michigan,42.4515,-83.2585
6205,Virginia,39.0095,-77.4625
6411,California,37.2375,-121.7825
6292,Colorado,39.7385,-104.9885
6436,New Jersey,40.5605,-74.4815
6122,California,37.3285,-121.8915
6549,New York,40.7115,-74.0105
6407,Washington,47.6205,-122.3625
6080,Colorado,39.7375,-104.9785
6343,Illinois,41.8485,-87.6205
6388,Pennsylvania,40.4315,-80.0385
6434,Washington,47.6095,-122.3415
6525,California,37.4295,-122.1715
6565,Illinois,40.4595,-87.6595
6480,California,37.4675,-121.9185
6147,Florida,25.7805,-80.1905
6290,California,37.3375,-121.8885
6156,California,37.7705,-122.4205
6428,Virginia,37.7015,-77.4415
6287,Minnesota,48.5805,-96.5185
6062,Florida,25.7885,-80.2295
6065,Washington,47.6095,-122.3395
6497,Virginia,39.0405,-77.4885
6074,California,37.7195,-122.3995
6222,Massachusetts,42.3485,-71.0615
6557,New York,42.8905,-78.8805
6155,"Washington, D.C.",38.8995,-77.0205
6127,New York,41.7205,-73.9315
6093,Texas,32.9885,-96.9285
6101,Arizona,33.4175,-112.0125
6216,Kansas,38.9505,-95.2625
6274,Washington,47.4995,-122.2895
6492,California,34.0485,-118.2585
6572,Georgia,33.7485,-84.3895
6479,Virginia,39.0115,-77.4595
6229,California,32.8815,-117.2415
6125,California,33.9195,-118.4015
6264,Washington,47.6095,-122.3295
6408,Arizona,33.4215,-112.0125
6409,Texas,32.8415,-96.8825
6422,Florida,34.0485,-118.2615
6517,Virginia,39.0205,-77.4625
6236,North Carolina,35.3305,-81.8715
6418,Indiana,39.9615,-86.1525
6421,California,34.0475,-118.2615
6454,Georgia,33.7795,-84.4205
6341,Virginia,38.8875,-77.4305
6265,Texas,32.7795,-96.7995
6140,Virginia,39.0175,-77.4605
6379,North Carolina,35.9315,-78.8795
6045,California,37.4395,-122.1405
