,CITY A,LATITUDE A,LONGITUDE A,CITY B,LATITUDE B,LONGITUDE B,GREAT CIRCLE DISTANCE (IN KM)
1,Florida,25.7885,-80.2295,Illinois,40.4595,-87.6595,1770.2657059830774
2,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755
3,Florida,25.7885,-80.2295,New York,40.7115,-74.0105,1755.9839984012556
4,Florida,25.7885,-80.2295,Washington,47.6205,-122.3625,4393.978921759016
5,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
6,Florida,25.7885,-80.2295,Michigan,42.7105,-84.6685,1924.6047755272223
7,Florida,25.7885,-80.2295,Pennsylvania,39.9585,-75.6095,1632.9723517549762
8,Florida,25.7885,-80.2295,North Carolina,35.3305,-81.8715,1072.5524900048451
9,Florida,25.7885,-80.2295,Missouri,39.0985,-94.5795,1995.7199666391377
10,Florida,25.7885,-80.2295,Florida,25.7885,-80.2295,0.0
11,Florida,25.7885,-80.2295,North Carolina,35.3305,-81.8715,1072.5524900048451
12,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
13,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755
14,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821
15,Florida,25.7885,-80.2295,Arizona,33.4215,-112.0125,3173.9720092296056
16,Florida,25.7885,-80.2295,Georgia,33.7795,-84.4205,976.0016391495011
17,Florida,25.7885,-80.2295,Minnesota,48.5805,-96.5185,2902.4972608525777
18,Florida,25.7885,-80.2295,Massachusetts,42.3485,-71.0615,2022.7516455065243
19,Florida,25.7885,-80.2295,Florida,25.7885,-80.2295,0.0
20,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
21,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755
22,Florida,25.7885,-80.2295,Illinois,40.4595,-87.6595,1770.2657059830774
23,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
24,Florida,25.7885,-80.2295,Utah,37.0815,-113.6225,3386.1082527430194
25,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755
26,Florida,25.7885,-80.2295,Florida,25.7885,-80.2295,0.0
27,Florida,25.7885,-80.2295,New Jersey,40.3485,-74.6515,1699.395420609335
28,Florida,25.7885,-80.2295,New Jersey,40.3485,-74.6515,1699.395420609335
29,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755
30,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821
31,Florida,25.7885,-80.2295,Georgia,33.7795,-84.4205,976.0016391495011
32,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
33,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
34,Florida,25.7885,-80.2295,New Jersey,40.3485,-74.6515,1699.395420609335
35,Florida,25.7885,-80.2295,Washington,47.6205,-122.3625,4393.978921759016
36,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
37,Florida,25.7885,-80.2295,New York,40.7115,-74.0105,1755.9839984012556
38,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755
39,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821
40,Florida,25.7885,-80.2295,Washington,47.6205,-122.3625,4393.978921759016
41,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755
42,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755
43,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
44,Florida,25.7885,-80.2295,New York,40.7115,-74.0105,1755.9839984012556
45,Florida,25.7885,-80.2295,North Carolina,35.3305,-81.8715,1072.5524900048451
46,Florida,25.7885,-80.2295,Illinois,40.4595,-87.6595,1770.2657059830774
47,Florida,25.7885,-80.2295,Pennsylvania,39.9585,-75.6095,1632.9723517549762
48,Florida,25.7885,-80.2295,Pennsylvania,39.9585,-75.6095,1632.9723517549762
49,Florida,25.7885,-80.2295,Iowa,41.2585,-95.8625,2241.7419299442977
50,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
51,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755
52,Florida,25.7885,-80.2295,Kansas,38.9505,-95.2625,2027.9532249397253
53,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755
54,Florida,25.7885,-80.2295,Colorado,39.7385,-104.9885,2771.5276829878494
55,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
56,Florida,25.7885,-80.2295,Kansas,38.9505,-95.2625,2027.9532249397253
57,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
58,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755
