,FROM_CITY,FROM_LATITUDE,FROM_LONGITUDE,TO_CITY,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
286,California,37.7195,-122.3985,Georgia,33.7795,-84.4205,3431.596265311825,0.24999999992233257
913,California,37.7195,-122.3985,Florida,25.7885,-80.2295,4162.534423687537,0.24074074053076644
916,California,37.7195,-122.3985,Virginia,38.9475,-77.3715,3889.2871200723193,0.23809523789249276
988,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.19999999894029363
1020,California,37.7195,-122.3985,Georgia,33.7795,-84.4205,3431.596265311825,0.23198198097518186
1047,Utah,37.0815,-113.6225,Pennsylvania,39.9585,-75.6095,3297.469411891069,0.1851851849411883
1084,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193,0.19924242415100668
1433,Washington,47.6205,-122.3625,Indiana,39.9615,-86.1525,2998.216955387207,0.18620689647333344
1437,Washington,47.6205,-122.3625,Pennsylvania,39.9585,-75.6095,3787.887912324971,0.08518518503570349
1515,New York,40.7115,-74.0105,Washington,47.6205,-122.3625,3867.3356190823647,0.12782805426915056
1745,California,37.7195,-122.3985,Georgia,33.7795,-84.4205,3431.596265311825,0.21372549016213183
1792,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193,0.20833333314722935
