,Taiwan,Singapore,Iowa,Amsterdam,San Francisco,Sydney,Osaka,South Carolina,Johannesburg,Bahrain,Paris,Dublin,Brussels,London,Washington,North Carolina,Frankfurt,Kymenlaakso,Sao Paulo,Oregon,Hong Kong,Zurich,North Holland,Virginia,Stockholm,Ningxia,Jakarta Rya,Mumbai,Toronto,Seoul,California,Kuala Lumpur,Ohio,Utah,Doha,Quebec,Tokyo
Taiwan,0,1.475814304561121,9.271501675478376,7.444609001071092,7.8701239255694615,3.9765729192029102,1.26647306433434,10.407624422268274,6.437697541189397,4.156907994764465,7.275718581677483,7.786610388691032,7.275718581677483,7.786610388691032,7.9816166819064716,9.999847888835234,6.898623871287363,6.607464728992144,10.318729634401624,7.927750267678748,0.37792325300153884,6.898623871287363,7.444609001071092,10.389280514056718,7.000049925310376,1.2588903610517619,1.8194109593868575,2.9002492136014943,10.419212515789475,0.944124938290587,7.808542927191338,1.475814304561121,9.999847888835234,8.314180074460475,3.7045878600311255,10.419212515789475,1.5834077925593988
Singapore,1.475814304561121,0,10.254534877491887,7.0878217027400074,8.846288591664628,3.4074061027302456,2.760983218824439,10.987372288718769,5.097531997605225,3.4985722979491136,6.848941513947751,7.387266292157423,6.848941513947751,7.387266292157423,9.053017899833087,10.898845045477776,6.5107278873962375,6.503612609318568,9.061103022074708,8.952740113312299,1.2730281523926905,6.5107278873962375,7.0878217027400074,11.243650068317184,6.845346359350698,2.056176324035299,0.3473234932907676,2.148467638247123,11.366724057480747,2.476354435936642,8.732633335785845,0,10.898845045477776,9.329618280442942,3.0855348570747374,11.366724057480747,3.018694840549477
Iowa,9.271501675478376,10.254534877491887,0,6.435620301083823,1.1806955971416038,8.65638993934766,8.320720334284609,1.4863533460716702,8.626192371600393,8.841310997999514,6.227763382600152,5.989123079839077,6.227763382600152,5.989123079839077,1.1532350132696223,0.8649367686224032,6.575501185005745,7.518160080961033,5.579454007394851,1.104502418841772,9.741794012023139,6.575501185005745,6.435620301083823,1.1860929915037843,7.17871831189121,10.195014776747234,10.33278386026194,10.261612800693833,1.0986117371469888,8.727761766222908,1.3616198194384417,10.254534877491887,0.8649367686224032,0.7327142794956032,9.328508726180258,1.0986117371469888,7.9400069005433345
Amsterdam,7.444609001071092,7.0878217027400074,6.435620301083823,0,7.826537328249071,10.525655391562339,8.507903688892299,5.332290424798654,5.4904942119649185,3.546469496258984,0.34931897115926347,0.30381418414320294,0.34931897115926347,0.30381418414320294,7.733283692571826,5.716771106204602,0.5203919544788498,1.36834863383001,6.154344077435672,7.776575609822167,6.927022134481207,0.5203919544788498,0,5.323695716353999,1.0740385180477325,6.2424386375392675,7.287397794282959,4.852763792324813,5.277988802230695,8.042546581932324,7.890942287057939,7.0878217027400074,5.716771106204602,7.398508355436633,3.9151767955361354,5.277988802230695,8.850564089553435
San Francisco,7.8701239255694615,8.846288591664628,1.1806955971416038,7.826537328249071,0,7.3976592459872785,6.941275503478801,2.487870996703105,9.613364927206623,10.117046269247663,7.606268072638743,7.378347768148883,7.606268072638743,7.378347768148883,0.6986161289670179,1.9771659752402968,7.954044421597613,8.923914041474399,6.159562186798587,0.32384407505395885,8.343421915911545,7.954044421597613,7.826537328249071,2.358417573606797,8.5828703785932,8.833721601206303,8.929022531932588,10.844210831956715,2.379672936120201,7.351116014817685,0.32558057169806887,8.846288591664628,1.9771659752402968,0.5283154429204906,10.61225601129879,2.379672936120201,6.558313605289259
Sydney,3.9765729192029102,3.4074061027302456,8.65638993934766,10.525655391562339,7.3976592459872785,0,4.4806262070573135,9.145715562145535,7.0887586684221695,6.7576403211068055,10.244744614122993,10.797203393327692,10.244744614122993,10.797203393327692,7.8291616433399795,9.04903968340372,9.92881104731673,10.040978979170756,9.586479113074615,7.616996745693136,4.204424330398373,9.92881104731673,10.525655391562339,9.375667288680317,10.370534502473733,5.227673292771873,3.1302150405773013,5.475820482282218,9.588227544831858,4.566144620219969,7.169425984684092,3.4074061027302456,9.04903968340372,7.922247283560776,6.4019480117086935,9.588227544831858,4.408999787055566
Osaka,1.26647306433434,2.760983218824439,8.320720334284609,8.507903688892299,6.941275503478801,4.4806262070573135,0,9.576500677940539,7.798500625520266,5.365890172560327,8.384725658801925,8.868085840782545,8.384725658801925,8.868085840782545,6.982309174468146,9.103244079519907,7.991632344990424,7.523355592543539,11.730355724890664,6.962094135100096,1.6660111033190397,7.991632344990424,8.507903688892299,9.496076344120768,7.94209089163989,1.9847162844970878,3.0699865433721456,4.182710195353383,9.483693907068838,0.40520068094291517,6.920561193849826,2.760983218824439,9.103244079519907,7.350598858000609,4.916061499273953,9.483693907068838,0.3276936742500567
South Carolina,10.407624422268274,10.987372288718769,1.4863533460716702,5.332290424798654,2.487870996703105,9.145715562145535,9.576500677940539,0,6.981435132954275,7.3473195144149965,5.089052987197357,4.939238583732701,5.089052987197357,4.939238583732701,2.751977690397311,0.6329658408892733,5.411427905548203,6.5263626808194,4.113895497436745,2.608173781136429,10.878401158328806,5.411427905548203,5.332290424798654,0.4100798141816462,6.206629128304906,10.828797281784006,11.043733864826534,8.744652506693885,0.8024347230412232,9.980794623219976,2.403209336093987,10.987372288718769,0.6329658408892733,2.2709619419846057,7.8380248825555965,0.8024347230412232,9.196637502241757
Johannesburg,6.437697541189397,5.097531997605225,8.626192371600393,5.4904942119649185,9.613364927206623,7.0887586684221695,7.798500625520266,6.981435132954275,0,3.1784856254780554,5.064252063022693,5.525784571230734,5.064252063022693,5.525784571230734,9.97589291185023,7.701327955574408,4.9594261591639395,5.918108242600097,3.971050724601378,9.79686355498616,6.036794852375669,4.9594261591639395,5.4904942119649185,7.3822389347601645,5.999366697332576,6.158516575506443,4.939940439415556,3.6988362316648633,7.633406403631074,7.410473708504141,9.424883851475268,5.097531997605225,7.701327955574408,9.4605736388996,3.4459613679065537,7.633406403631074,8.121607781151198
Bahrain,4.156907994764465,3.4985722979491136,8.841310997999514,3.546469496258984,10.117046269247663,6.7576403211068055,5.365890172560327,7.3473195144149965,3.1784856254780554,0,3.2657314068332504,3.7977549663920946,3.2657314068332504,3.7977549663920946,10.255486271292966,7.954283089026377,2.974743538524052,3.296825526997404,6.137905157247568,10.1872184629478,3.673450073104066,2.974743538524052,3.546469496258984,7.566582282088824,3.5385371234044687,3.3540214498007845,3.637937455067428,1.2733025580723485,7.687887334970122,4.911451125563991,10.04853264755695,3.4985722979491136,7.954283089026377,9.809220244788573,0.3719778820688351,7.687887334970122,5.749483698265246
