,source,target,value,IDsource,IDtarget,group
0,Google_Amsterdam,Amsterdam:10,1,82,36,grey
1,Google_Frankfurt,Amsterdam:10,1,52,36,grey
2,Google_London,Amsterdam:10,1,7,36,grey
3,Google_Belgium,Amsterdam:10,1,11,36,grey
4,Google_Hong Kong,Hong Kong:10,1,22,48,grey
5,Google_Taiwan,Hong Kong:10,1,68,48,grey
6,Google_Helsinki,Helsinki:10,1,28,6,grey
7,Google_Kane,Kane:10,1,89,29,grey
8,Google_Los Angeles,Los Angeles:10,1,85,74,grey
9,Google_Montreal,Montreal:10,1,71,55,grey
10,Google_Mumbai,Mumbai:10,1,33,72,grey
11,Google_Ashburn,Ashburn:10,1,47,54,grey
12,Google_Sao Paulo,Sao Paulo:10,1,50,51,grey
13,Google_Sydney,Sydney:10,1,43,70,grey
14,Google_Tokyo,Tokyo:10,1,83,30,grey
15,Google_Oregon,Oregon:10,1,12,64,grey
16,Google_Osaka,Osaka:10,1,73,18,grey
17,Google_Singapore,Singapore:10,1,76,13,grey
18,Google_Charleston,Charleston:10,1,62,39,grey
19,Google_Zurich,Zurich:10,1,34,14,grey
20,Amsterdam:10,Frankfurt:20,1,36,78,grey
21,Amsterdam:10,Frankfurt:20,1,36,78,grey
22,Zurich:10,Frankfurt:20,1,14,78,grey
23,Amsterdam:10,Frankfurt:20,1,36,78,grey
24,Amsterdam:10,Frankfurt:20,1,36,78,grey
25,Montreal:10,Montreal:20,1,55,15,grey
26,Charleston:10,Montreal:20,1,39,15,grey
27,Ashburn:10,Montreal:20,1,54,15,grey
28,Hong Kong:10,Hong Kong:20,1,48,44,grey
29,Hong Kong:10,Hong Kong:20,1,48,44,grey
30,Helsinki:10,Helsinki:20,1,6,80,grey
31,Kane:10,Kane:20,1,29,1,grey
32,Los Angeles:10,Los Angeles:20,1,74,56,grey
33,Mumbai:10,Mumbai:20,1,72,8,grey
34,Sao Paulo:10,Sao Paulo:20,1,51,42,grey
35,Sydney:10,Sydney:20,1,70,2,grey
36,Tokyo:10,Tokyo:20,1,30,79,grey
37,Oregon:10,Oregon:20,1,64,40,grey
38,Osaka:10,Osaka:20,1,18,10,grey
39,Singapore:10,Singapore:20,1,13,19,grey
40,Helsinki:20,Helsinki:30,1,80,86,grey
41,Frankfurt:20,Helsinki:30,1,78,86,grey
42,Frankfurt:20,Helsinki:30,1,78,86,grey
43,Frankfurt:20,Helsinki:30,1,78,86,grey
44,Frankfurt:20,Helsinki:30,1,78,86,grey
45,Frankfurt:20,Helsinki:30,1,78,86,grey
46,Los Angeles:20,Los Angeles:30,1,56,69,grey
47,Montreal:20,Los Angeles:30,1,15,69,grey
48,Montreal:20,Los Angeles:30,1,15,69,grey
49,Kane:20,Los Angeles:30,1,1,69,grey
50,Montreal:20,Los Angeles:30,1,15,69,grey
51,Singapore:20,Singapore:30,1,19,49,grey
52,Hong Kong:20,Singapore:30,1,44,49,grey
53,Hong Kong:20,Singapore:30,1,44,49,grey
54,Mumbai:20,Mumbai:30,1,8,53,grey
55,Sao Paulo:20,Sao Paulo:30,1,42,0,grey
56,Sydney:20,Sydney:30,1,2,38,grey
57,Tokyo:20,Tokyo:30,1,79,63,grey
58,Helsinki:30,Helsinki:40,1,86,41,grey
59,Helsinki:30,Helsinki:40,1,86,41,grey
60,Helsinki:30,Helsinki:40,1,86,41,grey
61,Helsinki:30,Helsinki:40,1,86,41,grey
62,Helsinki:30,Helsinki:40,1,86,41,grey
63,Helsinki:30,Helsinki:40,1,86,41,grey
64,Los Angeles:30,Los Angeles:40,1,69,37,grey
65,Los Angeles:30,Los Angeles:40,1,69,37,grey
66,Los Angeles:30,Los Angeles:40,1,69,37,grey
67,Los Angeles:30,Los Angeles:40,1,69,37,grey
68,Los Angeles:30,Los Angeles:40,1,69,37,grey
69,Singapore:30,Singapore:40,1,49,5,grey
70,Singapore:30,Singapore:40,1,49,5,grey
71,Osaka:20,Singapore:40,1,10,5,grey
72,Singapore:30,Singapore:40,1,49,5,grey
73,Mumbai:30,Mumbai:40,1,53,90,grey
74,Sao Paulo:30,Sao Paulo:40,1,0,27,grey
75,Sydney:30,Sydney:40,1,38,75,grey
76,Tokyo:30,Tokyo:40,1,63,31,grey
77,Helsinki:40,Helsinki:50,1,41,88,grey
78,Helsinki:40,Helsinki:50,1,41,88,grey
79,Helsinki:40,Helsinki:50,1,41,88,grey
80,Helsinki:40,Helsinki:50,1,41,88,grey
81,Helsinki:40,Helsinki:50,1,41,88,grey
82,Helsinki:40,Helsinki:50,1,41,88,grey
83,Los Angeles:40,Los Angeles:50,1,37,20,grey
84,Los Angeles:40,Los Angeles:50,1,37,20,grey
85,Oregon:20,Los Angeles:50,1,40,20,grey
86,Los Angeles:40,Los Angeles:50,1,37,20,grey
87,Los Angeles:40,Los Angeles:50,1,37,20,grey
88,Los Angeles:40,Los Angeles:50,1,37,20,grey
89,Singapore:40,Singapore:50,1,5,23,grey
90,Singapore:40,Singapore:50,1,5,23,grey
91,Singapore:40,Singapore:50,1,5,23,grey
92,Singapore:40,Singapore:50,1,5,23,grey
93,Mumbai:40,Mumbai:50,1,90,65,grey
94,Sao Paulo:40,Sao Paulo:50,1,27,84,grey
95,Sydney:40,Sydney:50,1,75,16,grey
96,Tokyo:40,Tokyo:50,1,31,58,grey
