,name
Sao Paulo:30,0
Kane:20,1
Sydney:20,2
Los Angeles:60,3
Los Angeles:70,4
Singapore:40,5
Helsinki:10,6
Google_London,7
Mumbai:20,8
Sydney:60,9
Osaka:20,10
Google_Belgium,11
Google_Oregon,12
Singapore:10,13
Zurich:10,14
Montreal:20,15
Sydney:50,16
Sao Paulo:80,17
Osaka:10,18
Singapore:20,19
Los Angeles:50,20
Tokyo:60,21
Google_Hong Kong,22
Singapore:50,23
Los Angeles:110,24
Mumbai:60,25
Sao Paulo:90,26
Sao Paulo:40,27
Google_Helsinki,28
Kane:10,29
Tokyo:10,30
Tokyo:40,31
Sao Paulo:60,32
Google_Mumbai,33
Google_Zurich,34
Los Angeles:80,35
Amsterdam:10,36
Los Angeles:40,37
Sydney:30,38
Charleston:10,39
Oregon:20,40
Helsinki:40,41
Sao Paulo:20,42
Google_Sydney,43
Hong Kong:20,44
Tokyo:70,45
Los Angeles:100,46
Google_Ashburn,47
Hong Kong:10,48
Singapore:30,49
Google_Sao Paulo,50
Sao Paulo:10,51
Google_Frankfurt,52
Mumbai:30,53
Ashburn:10,54
Montreal:10,55
Los Angeles:20,56
Mumbai:80,57
Tokyo:50,58
Sao Paulo:70,59
Los Angeles:90,60
Mumbai:70,61
Google_Charleston,62
Tokyo:30,63
Oregon:10,64
Mumbai:50,65
Singapore:70,66
Singapore:60,67
Google_Taiwan,68
Los Angeles:30,69
Sydney:10,70
Google_Montreal,71
Mumbai:10,72
Google_Osaka,73
Los Angeles:10,74
Sydney:40,75
Google_Singapore,76
Mumbai:100,77
Frankfurt:20,78
Tokyo:20,79
Helsinki:20,80
Mumbai:90,81
Google_Amsterdam,82
Google_Tokyo,83
Sao Paulo:50,84
Google_Los Angeles,85
Helsinki:30,86
Sydney:70,87
Helsinki:50,88
Google_Kane,89
Mumbai:40,90
