,2,4,6,8,10,12,14,16,18
6289,VA#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6517,VA#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6130,VA#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6524,VA#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6092,VA#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6155,VA#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6341,VA#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6144,VA#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6497,VA#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6140,VA#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6247,VA#1:2,VA#1:4,VA#1:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6428,VA#2:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6480,CA#0:2,CA#0:4,CA#0:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6290,CA#0:2,CA#0:4,CA#0:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6525,CA#0:2,CA#0:4,CA#0:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6482,CA#0:2,CA#0:4,CA#0:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6156,CA#0:2,CA#0:4,CA#0:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6095,CA#0:2,CA#0:4,CA#0:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6411,CA#0:2,CA#0:4,CA#0:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6229,CA#1:2,CA#1:4,CA#1:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6215,CA#1:2,CA#1:4,CA#1:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6492,CA#1:2,CA#1:4,CA#1:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6125,CA#1:2,CA#1:4,CA#1:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6421,CA#2:2,CA#2:4,CA#2:6,CA#1:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6093,TX#0:2,TX#0:4,TX#0:6,TX#0:8,TX#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6437,TX#0:2,TX#0:4,TX#0:6,TX#0:8,TX#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6061,TX#0:2,TX#0:4,TX#0:6,TX#0:8,TX#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6265,TX#0:2,TX#0:4,TX#0:6,TX#0:8,TX#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6067,TX#0:2,TX#0:4,TX#0:6,TX#0:8,TX#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6409,TX#0:2,TX#0:4,TX#0:6,TX#0:8,TX#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6264,WA#0:2,WA#0:4,WA#0:6,WA#0:8,WA#0:10,WA#0:12,WA#0:14,NJ#0:16,NJ#0:18
6434,WA#0:2,WA#0:4,WA#0:6,WA#0:8,WA#0:10,WA#0:12,WA#0:14,NJ#0:16,NJ#0:18
6274,WA#0:2,WA#0:4,WA#0:6,WA#0:8,WA#0:10,WA#0:12,WA#0:14,NJ#0:16,NJ#0:18
6407,WA#0:2,WA#0:4,WA#0:6,WA#0:8,WA#0:10,WA#0:12,WA#0:14,NJ#0:16,NJ#0:18
6065,WA#0:2,WA#0:4,WA#0:6,WA#0:8,WA#0:10,WA#0:12,WA#0:14,NJ#0:16,NJ#0:18
6266,FL#0:2,FL#0:4,FL#0:6,FL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6062,FL#0:2,FL#0:4,FL#0:6,FL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6422,FL#0:2,FL#0:4,FL#0:6,FL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6452,FL#0:2,FL#0:4,FL#0:6,FL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6147,FL#0:2,FL#0:4,FL#0:6,FL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6259,IL#0:2,IL#0:4,IL#0:6,IL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6343,IL#0:2,IL#0:4,IL#0:6,IL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6280,IL#0:2,IL#0:4,IL#0:6,IL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6565,IL#1:2,IL#1:4,IL#0:6,IL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6373,MO#0:2,MO#0:4,MO#0:6,MO#0:8,TX#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6216,MO#0:2,MO#0:4,MO#0:6,MO#0:8,TX#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6257,MO#0:2,MO#0:4,MO#0:6,MO#0:8,TX#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6574,NJ#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6549,NJ#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6436,NJ#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6223,NJ#1:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6454,GA#0:2,GA#0:4,GA#0:6,FL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6066,GA#0:2,GA#0:4,GA#0:6,FL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6572,GA#0:2,GA#0:4,GA#0:6,FL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6080,CO#0:2,CO#0:4,CO#0:6,CO#0:8,TX#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6292,CO#0:2,CO#0:4,CO#0:6,CO#0:8,TX#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6101,AZ#0:2,AZ#0:4,AZ#0:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6408,AZ#0:2,AZ#0:4,AZ#0:6,CA#0:8,CA#0:10,CA#0:12,CA#0:14,NJ#0:16,NJ#0:18
6097,MI#0:2,MI#0:4,MI#0:6,IL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6389,MI#1:2,MI#1:4,IL#0:6,IL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6379,NC#0:2,NC#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6236,NC#1:2,NC#1:4,GA#0:6,FL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6570,NC#2:2,NC#2:4,NC#0:6,NC#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6222,MA#0:2,MA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6288,PA#0:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6072,PA#1:2,VA#0:4,VA#0:6,VA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6388,PA#2:2,PA#0:4,PA#0:6,IL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6418,IN#0:2,IL#0:4,IL#0:6,IL#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6557,NY#0:2,NY#0:4,NY#0:6,NY#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6208,UT#0:2,UT#0:4,UT#0:6,UT#0:8,UT#0:10,UT#0:12,CA#0:14,NJ#0:16,NJ#0:18
6613,IA#0:2,IA#0:4,IA#0:6,IA#0:8,NJ#0:10,NJ#0:12,NJ#0:14,NJ#0:16,NJ#0:18
6287,MN#0:2,MN#0:4,MN#0:6,MN#0:8,MN#0:10,MN#0:12,MN#0:14,NJ#0:16,NJ#0:18
